,bill_id,alternate_bill_id,bill_name,bill_text_url,bill_summary,bill_sponsors,action_on_branch,action_date,action_text,Category
157,H220,S211,Insurance Technical Changes.-AB,https://www.ncleg.gov/sessions/2019/bills/house/html/H220v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/220/2019-2020%20Session/H220,Mitchell S. Setzer; Dana Bumgardner; Kevin Corbin; Marvin W. Lucas; Michael H. Wray,R,7/26/2019,Ch. SL 2019-179,General Government
1419,S458,,PTS Day/Cardiac Task Force/Titus's Law/Data.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S458v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/458/2019-2020%20Session/S458,Harry Brown; Jeff Jackson; Jim Burgin; Erica D. Smith,R,9/18/2019,Ch. SL 2019-225,General Government
1505,S535,,Authorize State Park/Clarify Corps Name.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S535v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/535/2019-2020%20Session/S535,Chuck Edwards; Ralph Hise; Jim Davis,R,7/19/2019,Ch. SL 2019-138,General Government
1507,S537,H729,ACH Pmt/Counselor-SA-SW Act Amend/ DHHS Rev.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S537v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/537/2019-2020%20Session/S537,Ralph Hise; Joyce Krawiec; Dan Bishop; Bob Steinburg,H,8/21/2019,Conf Com Appointed,General Government
1413,S452,H588,2019 Governor's Budget.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S452v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/452/2019-2020%20Session/S452,Harry Brown; Kathy Harrington; Brent Jackson; Ben Clark; Jim Davis,S,4/3/2019,Re-ref Com On Appropriations/Base Budget,General Government
153,H217,,DIT Changes.-AB,https://www.ncleg.gov/sessions/2019/bills/house/html/H217v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/217/2019-2020%20Session/H217,Jason Saine; Brenden H. Jones; Kyle Hall,R,8/21/2019,Ch. SL 2019-200,General Government
1408,S448,H340,Amend Appt For Compact on Education/Military.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S448v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/448/2019-2020%20Session/S448,"Harry Brown; Danny Earl Britt, Jr.; Ben Clark; Norman W. Sanderson",R,6/21/2019,Ch. SL 2019-38,General Government
226,H283,S306,ConnerÂ’s Law.,https://www.ncleg.gov/sessions/2019/bills/house/html/H283v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/283/2019-2020%20Session/H283,"Brenden H. Jones; John R. Bell, IV; Tim Moore; Kelly E. Hastings; Lisa Stone Barnes; James L. Boles, Jr.; William D. Brisson; Jerry Carter; Debra Conrad; Kyle Hall; Cody Henson; Chris Humphrey; Howard J. Hunter, III; Joe John; Keith Kidwell; Carolyn G. Logan; Stephen M. Ross; Mitchell S. Setzer; Carson Smith; Larry C. Strickland; John Szoka; Michael H. Wray",H,10/1/2019,Placed On Cal For 10/02/2019,General Government
228,H285,,City of Sanford/Town of Beaufort/Vol Annex.,https://www.ncleg.gov/sessions/2019/bills/house/html/H285v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/285/2019-2020%20Session/H285,John Sauls,R,7/10/2019,Ch. SL 2019-105,General Government
147,H211,,Various DMV Changes.,https://www.ncleg.gov/sessions/2019/bills/house/html/H211v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/211/2019-2020%20Session/H211,Phil Shepard; Frank Iler,R,9/27/2019,Ch. SL 2019-227,General Government
163,H226,,Pay Increases/State Employees.,https://www.ncleg.gov/sessions/2019/bills/house/html/H226v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/226/2019-2020%20Session/H226,Rena W. Turner; Joe John,R,8/30/2019,Ch. SL 2019-209,General Government
89,H16,,2019 House Permanent Rules.,https://www.ncleg.gov/sessions/2019/bills/house/html/H16v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/16/2019-2020%20Session/H16,David R. Lewis,H,2/6/2019,Adopted,General Government
1424,S462,,Modifications to NC Appraisal Board.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S462v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/462/2019-2020%20Session/S462,Jim Burgin; Tom McInnis; Andy Wells,R,7/22/2019,Ch. SL 2019-146,General Government
1491,S522,,Low-Perf. Schools/Stand. Student Conduct.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S522v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/522/2019-2020%20Session/S522,Jerry W. Tillman; Dan Bishop; Paul Newton,H,9/5/2019,Conf Com Appointed,General Government
1600,S620,,Electric Standup Scooters.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S620v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/620/2019-2020%20Session/S620,"Floyd B. McKissick, Jr.; Paul Newton; Wiley Nickel; Erica D. Smith; Joyce Waddell; Mike Woodard",S,7/10/2019,Re-ref Com On Commerce and Insurance,General Government
1601,S621,,Testing Reduction Act of 2019.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S621v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/621/2019-2020%20Session/S621,Jerry W. Tillman; Deanna Ballard; Vickie Sawyer; Chuck Edwards; Carl Ford,R,9/4/2019,Ch. SL 2019-212,General Government
78,H15,,Lexington/Dissolve Utilities Commission.,https://www.ncleg.gov/sessions/2019/bills/house/html/H15v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/15/2019-2020%20Session/H15,Larry W. Potts,R,6/27/2019,Ch. SL 2019-64,General Government
269,H321,,Pilot Project to Treat Opioid Overdose.,https://www.ncleg.gov/sessions/2019/bills/house/html/H321v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/321/2019-2020%20Session/H321,"Ted Davis, Jr.; Mary Belk; James L. Boles, Jr.; Deb Butler; Elmer Floyd; Charles Graham; Holly Grange; Bobby Hanig; Yvonne Lewis Holley; Howard J. Hunter, III; Frank Iler; Carolyn G. Logan; Marvin W. Lucas; Nasif Majeed; Robert T. Reives, II; Wayne Sasser; Shelly Willingham; Michael H. Wray",H,5/22/2019,"Re-ref Com On Appropriations, Justice and Public Safety",General Government
1354,S4,,Extend Terms of 2 Members/Coastal Carolina CC.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S4v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/4/2019-2020%20Session/S4,Harry Brown,R,3/21/2019,Ch. SL 2019-7,General Government
1610,S63,H84,City of Kannapolis/Annexation.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S63v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/63/2019-2020%20Session/S63,Carl Ford,R,4/29/2019,Ch. SL 2019-12,General Government
209,H268,,Amend On-Site Wastewater Laws/Misc. TC.,https://www.ncleg.gov/sessions/2019/bills/house/html/H268v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/268/2019-2020%20Session/H268,Mark Brody; Michael H. Wray; Harry Warren,R,7/22/2019,Ch. SL 2019-151,General Government
1353,S399,,Rehire High-Need Teachers.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S399v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/399/2019-2020%20Session/S399,"Rick Horner; Phil Berger; Jay J. Chaudhuri; Danny Earl Britt, Jr.; Jim Burgin; Jim Davis; Kirk deViere; Valerie P. Foushee; Michael Garrett; Jeff Jackson; Paul A. Lowe, Jr.; Natasha R. Marcus; Tom McInnis; Mujtaba A. Mohammed; Jim Perry; Gladys A. Robinson; Norman W. Sanderson; Sam Searcy; Erica D. Smith; Terry Van Duyn; Mike Woodard",R,7/11/2019,Ch. SL 2019-110,General Government
1566,S590,,Modify Continuing Ed for Real Estate Brokers.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S590v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/590/2019-2020%20Session/S590,Rick Gunn; Vickie Sawyer,R,8/9/2019,Ch. SL 2019-195,General Government
233,H29,,Standing Up for Rape Victims Act of 2019.,https://www.ncleg.gov/sessions/2019/bills/house/html/H29v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/29/2019-2020%20Session/H29,"James L. Boles, Jr.; Mary Belk; Carson Smith; William O. Richardson; Gale Adcock; John Ager; Kelly M. Alexander, Jr.; John Autry; Cynthia Ball; Sydney Batch; Chaz Beasley; Cecil Brockman; Becky Carney; Christy Clark; Ashton Wheeler Clemmons; George G. Cleveland; Kevin Corbin; Carla D. Cunningham; Allison A. Dahle; Terence Everitt; John Faircloth; Jean Farmer-Butterfield; Susan C. Fisher; James D. Gailliard; Rosa U. Gill; Kyle Hall; Wesley Harris, PhD; Pricey Harrison; Zack Hawkins; Cody Henson; Yvonne Lewis Holley; Rachel Hunt; Howard J. Hunter, III; Verla Insko; Joe John; Brandon Lofton; Carolyn G. Logan; Nasif Majeed; Grier Martin; Allen McNeill; Graig R. Meyer; Derwin L. Montgomery; Marcia Morey; Larry G. Pittman; Larry W. Potts; Joe Sam Queen; Amos L. Quick, III; Robert T. Reives, II; Dennis Riddell; C. Ray Russell; Wayne Sasser; Mitchell S. Setzer; Kandie D. Smith; Raymond E. Smith, Jr.; Evelyn Terry; Brian Turner; Julie von Haefen; Shelly Willingham; Michael H. Wray",R,9/18/2019,Ch. SL 2019-221,General Government
247,H301,,CIP Revisions/Juvenile Code.,https://www.ncleg.gov/sessions/2019/bills/house/html/H301v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/301/2019-2020%20Session/H301,Sarah Stevens; Marcia Morey; Mary Belk; MaryAnn Black; Elmer Floyd; Yvonne Lewis Holley; Marvin W. Lucas,R,6/21/2019,Ch. SL 2019-33,General Government
139,H204,,Town of Beaufort/Annexation.,https://www.ncleg.gov/sessions/2019/bills/house/html/H204v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/204/2019-2020%20Session/H204,Pat McElraft,R,7/8/2019,Ch. SL 2019-95,General Government
1528,S556,,GSC People First Language 2019.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S556v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/556/2019-2020%20Session/S556,Chuck Edwards; Ralph Hise; Jim Perry; Natasha R. Marcus,R,7/1/2019,Ch. SL 2019-76,General Government
136,H201,,Randolph Co. Register of Deeds Tax Cert.,https://www.ncleg.gov/sessions/2019/bills/house/html/H201v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/201/2019-2020%20Session/H201,Pat B. Hurley; Allen McNeill; George G. Cleveland; Bobby Hanig,R,6/11/2019,Ch. SL 2019-25,General Government
